University,Degree,Date,User
Faculty of Electronic Engineering,"Bachelor of Engineering (BEng), Engineering and Computer Science",2005 - 2010,mohamed-mrzok-52722b74
Georgia Institute of Technology,"Master of Science - MS, Computer Science",2020 - 2023,mohamed-osama-eliwa-2139b7163
Cairo University,"Bachelor's degree, Computer Engineering",2014 - 2019,mohamed-osama-eliwa-2139b7163
Modern Narmer,Secondary School,2000 - 2014,mohamed-osama-eliwa-2139b7163
Beni-Suef University,Faculty of Computer and artificial intelligence,,mohamed-ragab-programmer
Information Technology Institute (ITI),software testing and quality assurance,Apr 2022 - Aug 2022,mohamed-saidd
Alexandria University,"Graduated, Chemistry and Physics",Sep 2012 - Feb 2017,mohamed-saidd
Benha University,"Bachelor of Computer Science, Computer Science",2013 - 2017,mohamed-samir-salem
Helwan University Cairo,"Bachelor's degree, Computer Software Engineering",2015 - 2019,mohamed-samy-08531a16a
Cairo University,"Master's degree, Computer Engineering",Oct 2022 - Sep 2024,mohamed-shawky
Cairo University,"Bachelor's degree, Computer Engineering",Sep 2016 - Jul 2021,mohamed-shawky
Nile University - NU,"Diploma, Data Science and Big Data Diploma",2019 - 2020,mohamed-sief-74006115
Cairo University,"Bachelor of Computers and Information, Major : Infromation System Minor: Computer Science",2005 - 2009,mohamed-sief-74006115
shoubra Faculty Of Engineering Benha University,"Bachelor's degree, Computer Engineering",2014 - 2018,mohamed-sobhy-074311a8
Ain Shams University,"graduted, Computer Science",2018 - 2021,mohamed-taher-486811191
Ain Shams University,"student, Computer Engineering",2016 - 2021,mohamed-talaat-1a4521155
Ain Shams University,2012 - 2017,,mohamed-thabet-8b205710b
Ain Shams University,Computer Science,2015 - 2019,mohamed-waheed-2074a4213
Ain Shams University,"Bachelor's degree, Computer Science",2015 - 2019,mohamed-waheed-2074a4213
London South Bank University,"Bachelor's degree, Computer Software Engineering",2017 - 2020,mohamed-zidan-a8003a167
The British University in Egypt,2016 - 2020,,mohamed-zidan-a8003a167
Benha University,"Bachelor's degree, Textile Sciences and Engineering",2015 - 2020,mohamedalaa4j
Alexandria University,"Bachelor's degree, Computer and Communication Engineering",2016 - 2021,mohamedalharouni
"Arab Academy for Science, Technology and Maritime Transport",High School Diploma,2014 - 2016,mohamedalharouni
Alexandria University,"Bachelor's degree, Electrical Engineering",2014 - 2019,mohamedashraf170
Harvard University,"CS50x, Computer Science",Jan 2021 - Apr 2021,mohamedawwad-sd
Helwan University Cairo,"Bachelor's degree, Geographic Information Science and Cartography",2013 - 2016,mohamedawwad-sd
Information Technology Institute (ITI),"Master of Technology - MTech, Full Stack Development Using MEARN",Nov 2021 - Mar 2022,mohameddarwesh
Route Academy,"Diploma of Education, Full-Stack Development using MERN",Oct 2021 - Jul 2022,mohameddarwesh
Portsaid University,"Bachelor's degree of Specific Education, Computer Science",Jul 2017 - Jul 2020,mohameddarwesh
Udacity,Advanced Cloud DevOps,Aug 2022 - Nov 2022,mohameddorgham
Delta University for Science and Technology,"Bachelor degree, Civil Engineering",2015 - 2021,mohameddorgham
Benha University,"Bachelor's degree, Computer Science",Sep 2019 - Jan 2023,mohamedehabde
Suez Canal University,"Bachelor's degree, Computer Science",2014 - 2017,mohamedelbastawesy
Beni-Suef University,"Bachelor's degree, Computer Science",2013 - 2017,mohamedglal58
Minufiya University,"Bachelor of Computer Science, Computer Science",Sep 2017 - Sep 2021,mohamedhashem
El Shorouk Academy,"Bachelor of Management &amp; Information System, Computer/Information Technology Administration and Management",2016 - May 2020,mohamedmagdymostafa
Kafr El-Sheikh University,"Student, Computer Science",2018 - 2022,mohamedsadek88
El Shorouk Academy,"Bachelor's degree, Managment Information System",2013 - 2017,mohamedsalah4
Zagazig University,"B.Sc, Electrical Engineering, Computer systems engineering",2001 - 2005,mohamedtaman
Ain Shams University,"Bachelor's degree, Computer Science",2011 - 2016,mohammad-ismail-b6771560
Cairo University,"Bachelor's degree, Information Technology",2009 - 2013,mohammad-shaker-84117668
Khaled Ibn El-Waleed,"92.73 %, Secondary Education and Teaching",2006 - 2009,mohammad-shaker-84117668
Alexandria University,"Bachelor's degree, Electrical, Electronics and Communications Engineering",Sep 2017 - Jul 2022,mohammad1722
Assiut University,"Bachelor's degree, Computers and Information",2014 - 2018,mohammed-abdullah-52b700121
Alexandria University,"Bachelor's degree, Computer Engineering",2016 - 2021,mohammed-akl-8567a61a7
"Arab Academy for Science, Technology and Maritime Transport","Master of Business Administration (MBA), Project Management",2014 - 2016,mohammed-al-ammary-0b591763
National Telecommunication Institute (NTI),"Modern wireless networks internship, Computer Systems Networking and Telecommunications",2013 - 2013,mohammed-al-ammary-0b591763
Mansoura University,"Bachelor's degree, Communication and Information Engineering (C.I.E)",2007 - 2012,mohammed-al-ammary-0b591763
Cairo University,"Bachelor of Engineering - BE, Computer Engineering",Jul 2015 - Oct 2021,mohammed-ameen-7bbb5a198
Cairo University,"Bachelor's degree, Management Information Systems, General",2011 - 2015,mohammed-kelany-171486165
Helwan University Cairo,"Bachelor's degree, Computer Science",2018,mohammed-raafat
Tanta University,"Bachelor's degree, Mass Communication/Media Studies",2020 - 2024,mohammed-rammah-2b6358214
Alexandria University,"Bachelor's degree, Electrical, Electronics and Communications Engineering",Sep 2013 - Jul 2018,mohammed-saad-073772155
Ain Shams University,"Bachelor of Commerce (B.Com.), Accounting and Finance",2009 - 2014,mohammed-salah-093a85a7
Cairo International School,2005 - 2008,,mohammed-salah-093a85a7
Information Technology Institute (ITI),Game development,2019 - 2019,mohammedalii
ACC Virtual Reality Diploma,"American Center, U.S. Embassy Cairo &amp; 412Labs, VR / AR",2020,mohammedalii
Assiut University,"Bachelor's degree, Computer Science",2011 - 2016,mohammedalii
Cairo University,"Bachelor's Degree, Computer Engineering",2000 - 2005,mohammedhossam
"Orman Secondary School, Cairo, Egypt","High School, Thanaweya Amma",1997 - 2000,mohammedhossam
Mansoura University,"Bachelor of Engineering - BSc, Electronics and Communication Engineering",2013 - 2018,mohsenmoawad
University of Ottawa,"Master of Engineering Electrical and Computer Engineering, Artificial Intelligence and Data Science",May 2021 - Feb 2022,mona-mamdouh
Zagazig University,"Bachelor's degree, Computer Science",2016 - 2020,mona-mamdouh
"Faculty of Computer and Information Science, Ain Shams University","Good, Computer Science",2003 - 2007,mona-shafiq-pmp-itil-68b435b3
"St. Joseph School, Hurghada",95%,2000 - 2003,mona-shafiq-pmp-itil-68b435b3
Ain Shams University,"Bachelor of computer sciencs, Computer Science",2016 - 2020,monamustafa7
Amit,"Diploma of full stack , Computer Science",Jan 2021 - Jun 2021,monamustafa7
Eastern Mediterranean University,"Bachelor's degree with Honor Student Accredited by ABET Accreditation , Computer Engineering",2015 - 2018,moqbel-elseaedy-92b2a913b
Cairo University,Electronics and Communications Engineering,2011 - 2014,moqbel-elseaedy-92b2a913b
Ain Shams University,"Bachelor of Computer Science - BCs, Computer Science",Sep 2017 - Aug 2021,morsi-mohsen-1a2a32171
Faculty of Computers and Information - Cairo University,"Bachelor's degree, Computer Science",2011 - 2016,mosaosama
The German University in Cairo,"Bachelor of Engineering - BE, Computer Science",2017 - 2022,mostafa-abdelnasser
German International University in Berlin,"Semester Abroad, Computer Science",2020 - 2020,mostafa-abdelnasser
EAEAT Academy,"Bachelor's degree, Mechatronics, Robotics, and Automation Engineering",2015 - 2020,mostafa-ahmed-moh
Ain Shams University,"Bachelor's degree, Computer Engineering",2013 - 2018,mostafa-alaa-gharieb
El Rowad College,General secondary,2002 - 2013,mostafa-alaa-gharieb
Minufiya University,"Bachelor, Computer Science",2015 - 2019,mostafa-ayman-261949155
Aalto University,"Master's degree, Data Science",2020 - 2021,mostafa-eissa-16356b12a
KTH Royal Institute of Technology,"Master's degree, Data Science",2019 - 2020,mostafa-eissa-16356b12a
Cairo University,"Bachelor of Science (B.Sc.), Computer Engineering",2007 - 2012,mostafa-eissa-16356b12a
Cairo University,"Bachelor's degree, Computer Engineering",2013 - 2018,mostafa-gamal-badawy
Information Technology Institute (ITI),"9-Month Professional Diploma, Cloud Platform Development",Nov 2021 - Jun 2022,mostafa-hassan-097
Obour Institutes,"Bachelor's degree, Computer Science",2015 - 2019,mostafa-hassan-097
Ain Shams University,"Bachelor's degree, Computer Science",2016 - 2020,mostafa-hassan-backend-dev
Cairo University,"Bachelor of Engineering - BE, Computer Engineering",2016 - 2021,mostafa-hazem-omar
Mansoura University,"Diploma, Information Security",2017 - 2018,mostafa-kashwaa
Mansoura University,"Master's degree, Information Security",2019,mostafa-kashwaa
MCIT,Mobile Application Development,2013 - 2014,mostafa-kashwaa
Minia University,"Bachelor's degree, Computer Science",Sep 2014 - Jun 2018,mostafa-khalid-0129b4149
Benha University,"Bachelor of Engineering - BE, communication and electronics",2013 - 2018,mostafa-mahmoud-423821205
Information Technology Institute (ITI),"9-Month Diploma, Open Source Applications Development",2018 - 2019,mostafa-mahmoud-72a56b168
Tanta University,"Bachelor of Science - BS, Computer Science",2014 - 2018,mostafa-mahmoud-72a56b168
Alahmadia School.,General Certificate of Education,2011 - 2014,mostafa-mahmoud-72a56b168
Cairo University,"Bachelor's degree, Computer Engineering",2007 - 2012,mostafa-nassar-57a84062
Ain Shams University,"Bachelor's Degree, Computer Science",2011 - 2015,mostafa-saad-699b3631
Alexandria University,"Bachelor's degree, Electrical, Electronics and Communications Engineering",2014 - 2019,mostafa-shahin13
Minufiya University,"Bachelors, Computer Science",2009 - 2013,mostafa-teba-4b7a4318a
Cairo University,"Bachelor's degree, Computer Engineering",2018 - 2023,mostafa-wael
Qawmia language school,"High School Diploma, Mathematics",2006 - 2018,mostafa-wael
Zagazig University,"Bachelor of Computer Science, Computer Science",2008 - 2011,mostafaarefaat
El Sadat Secondary School,Mathematical Section,2006 - 2008,mostafaarefaat
Cairo University,"Bachelor of computer science, Information Systems",2003 - 2007,mostafakandil86
Cairo University,"Bachelor of Engineering - BE, Electrical and Electronics Engineering",2017 - 2022,mostafakassem1
Cairo University,"Bachelor's degree, Mathematics and Computer Science",2011 - 2019,mostafamohammed05
Minia University,"Bachelor's degree, Information Technology",Jan 2016 - Jul 2019,motazmohamed
Information Technology Institute (ITI),,,motazmohamed
freeCodeCamp,,,moustafamohsen
CodeAcademy,,,moustafamohsen
MITx Courses,Computer Science,2015 - 2015,moustafamohsen
Alexandria University,"Bachelor’s Degree, Computer Science",2012 - 2016,mtaherelkholy
Gamal Abdel Naser School,"Certificate of General Secondary Education, General Studies",2007 - 2010,mtaherelkholy
Information Technology Institute (ITI),Embedded System,Jul 2022 - Dec 2022,mu5tar
National Telecommunication Institute (NTI),"Diploma of Education, Embedded Systems and IoT",Sep 2021 - Jan 2022,mu5tar
Thebes Academy,"بكالوريوس تكنولوجيا, computer science",2015 - 2019,mu5tar
Beni-Suef University,"Bachelor's degree, Computer Science",Sep 2019 - Aug 2023,muhamed-khedr
Ain Shams University,"Bachelor's degree, Computer and Information Sciences - Software Engineering",2018 - 2022,muhameddaahmed
Ain Shams University,"Bachelor's degree, Computer Science",2016 - 2020,muhammed-aly
Helwan University Cairo,"Bachelor's degree, Software Engineering",2016 - 2020,muhammedatif
Helwan University,"Bachelor's Degree in Computer and Artifcial Intelligence, Computer Science",2016 - 2020,nabil-salman-851037164
The German University in Cairo,2013 - 2018,,nada-ahmed-09a891158
Ain Shams University,Computer engineering and software systems,2012 - 2017,nada-dia
Future language school,High School,2009 - 2011,nada-dia
Cairo University,"Bachelor's degree, Computer Engineering",2017 - 2022,nada-elkhamy
Dar El-Tarbyah Language School,General Secondary Education,2013 - 2017,nada-elkhamy
The German University in Cairo,"Bachelor's Degree, Computer Science and Engineering",2012 - 2017,nada-hamdi-345676b3
Benha University,"Bachelor's degree, Computer and Information Sciences, General",2016 - 2020,nada-mohamed-b706491bb
Ain Shams University,"2020, Computer Engineering",2015 - 2020,nader-nabil
Udacity,"Nanodegree, AWS Cloud DevOps Engineer",Feb 2022 - May 2022,nadertarek
Modern University for Technology &amp; Information - MTI,"Bachelor of Science - BS, Computer Science",Sep 2019 - Jun 2023,nadertarek
Ain Shams University,Computer Engineering,2016 - 2021,nadienrashad
The German University in Cairo,"Bachelor of Engineering - BE, Computer Science and Computer Engineering",2016 - 2021,nadin-el-hanafy-b20533187(1)
American School of Kuwait,High School Diploma,2010 - 2016,nadin-el-hanafy-b20533187(1)
The German University in Cairo,"Bachelor of Engineering - BE, Computer Science and Computer Engineering",2016 - 2021,nadin-el-hanafy-b20533187
American School of Kuwait,High School Diploma,2010 - 2016,nadin-el-hanafy-b20533187
faculty of computers and information technology cairo university,Information Technology,2014 - 2018,nagham-alaa-54878a125
Cairo University,"Bachelor's degree, Electrical, Electronics and Communications Engineering",,nahed-sayed-528749b6
Cairo University,"Bachelor of Science - BS, Computer Engineering",2017 - 2022,naiera-magdy-3011
Faculty of Engineering El-sherouk academy,"Bachelor of Engineering - BE, Communication and electronics",2015 - 2020,nermeen-hamada-abdelhamid-7a1562169
Saint Vincent miami Alexandria,Mathématiques,1995 - 2008,nermine-georges-a833a9140
Alexandria University,"Bachelor of Engineering - BE, Génie civil",2008 - 2013,nermine-georges-a833a9140
Suez Canal University,"Bachelor's Degree, Computer Science",2013 - 2017,nesma-mohamed-b42445142
faculty of computer and informatices in suez canel university,2013 - 2017,,nesma-mohamed-b42445142
Information Technology Institute (ITI),,,nesma-mohamed-b42445142
The British University in Egypt,"Bachelor’s Degree, Computer Scienc",2011 - 2015,noha-mohamed-ali(1)
The British University in Egypt,"Bachelor’s Degree, Computer Scienc",2011 - 2015,noha-mohamed-ali
Information Technology Institute (ITI),"Higher National Diploma, Artificial Intelligence",Apr 2021 - Dec 2021,noha-saeed
Zagazig University,"Bachelor's degree, Civil Engineering",2013 - 2018,noha-saeed
"faculty of computer and information, Ain Shams univercity","Bachelor’s Degree, Computer and Information Sciences",2014 - 2018,noha-samir-b07468138
fatma el zahraa,High School/Secondary Diplomas and Certificates,2011 - 2014,noha-samir-b07468138
Ain Shams University,"Computer science Diploma , Computer Technology/Computer Systems Technology",2016 - 2018,norhan-elsayed-8055b9123
NEW CAIRO ACADEMY,"Bachelor's degree, computer science and information system",2012 - 2016,norhan-elsayed-8055b9123
Faculty of computers and artificial intelligence,"Bachelor's degree, Computer Science",2017 - 2021,norhanatef
The American University in Cairo,"Bachelor of Applied Science - BASc, Computer Engineering",2016 - 2021,nouran-adel-flaifel
Maadi Narmer School,IGCSE,2001 - 2016,nouran-adel-flaifel
"Japan Foundation, Cairo Office",Japanese Language and Culture,2011 - 2017,nourhan-elsherief-5270b185
Cairo University,"Bachelor's degree in Computer Science, Major: Computer Science, Minor: Information Technology",2009 - 2013,nourhan-elsherief-5270b185
Helwan University,"Bachelor’s Degree, Computer Science",2011 - 2015,nourhan-hosny(1)
Helwan University,"Bachelor’s Degree, Computer Science",2011 - 2015,nourhan-hosny
Kafr El-Sheikh University,"vgood, Electrical, Electronics and Communications Engineering",2015 - 2020,nourhan-mourshdy-6975081b8
Information Technology Institute (ITI),Full Stack Developer,Nov 2021 - Feb 2022,nourhanelnaggar
Ain Shams University,"faculty of computer and information science, Computer and Information Sciences and Support Services",2017 - 2021,nourhanelnaggar
Alexandria University,"Master's degree, Information Technology",2018 - 2024,nourhansaeed
AIET,"Bachelor's degree, Computer Engineering",2011 - 2016,nourhansaeed
kom hamada elthanwya bnat,"93%, Mathematics",2008 - 2011,nourhansaeed
Kafr El-Sheikh University,"Bachelor's degree, Computer Science",2018 - 2022,oaik
faculty of computer and information science helwan university,very good,2015 - 2019,ola-ibrahim-32886a163(1)
faculty of computer and information science helwan university,very good,2015 - 2019,ola-ibrahim-32886a163
Zewail City of Science and Technology,"Bachelor of Science - BS, Communication and Information Engineering",Sep 2016 - Jun 2021,omar-3
Alexandria University,"Bachelor's degree, Mechanical Engineering",2012 - 2018,omar-abdel-halim-452b821a5
Arab Open University,"Bachelor's degree, Computer Science",2017 - 2021,omar-abubakr-902900189
Information Technology Institute (ITI),"Diploma of Education, Front End Development",2020 - 2021,omar-adel-808414145
Higher Technological Institute,"Bachelor's degree, Mechatronics, Robotics, and Automation Engineering",2014 - 2019,omar-adel-808414145
Higher Technological Institute,"Bachelor's degree, Electronics and Communications Engineering",Sep 2016 - Jul 2021,omar-ahmed-0999b518b
Information Technology Institute (ITI),"Diploma of Education, Artificial Intelligence and Machine Learning",Oct 2021 - Jul 2022,omar-ahmed-0999b518b
Ain Shams University,"Bachelor of Engineering (B.Eng.), communication systems",2009 - 2014,omar-ehab-0b1512118
own heliopolis languge school,Egyptian high school diploma,2008,omar-ehab-0b1512118
Cairo University,"Bachelor of Engineering - BE, Communications and Computer Engineering (CCE)",2015 - 2020,omar-el-masry-375083158
Cairo University,"Master's degree, Computer Engineering",Jan 2021,omar-el-masry-375083158
Tanta University,"Bachelor's degree, Business and information system",2015 - 2019,omar-elshrief-2a59a7220
Cairo University,"Bachelor of Engineering - BE, Electrical and Machine",2018,omar-gharib-a593279a
Information Technology Institute (ITI),,,omar-gharib-a593279a
Future University in Egypt,2012 - 2017,,omar-hassan-8b1869137
Future University - Egypt,"Bachelor's degree, Computer Science",2012 - 2017,omar-hassan-8b1869137
Ain Shams University,"Bachelor's degree, Computer Software Engineering",2016 - 2021,omar-hatem-993015118
Ain Shams University,"Bachelor of Engineering - BE, Computer Engineering",2016 - 2021,omar-hazem-57317413a
Udacity,"Nanodegree, Advanced Data Analysis",2020 - 2020,omar-hazem-57317413a
Udacity,"Nanodegree, Machine Learning Engineer",2020 - 2020,omar-hazem-57317413a
The German University in Cairo,"Bachelor's degree, Computer Science",2014 - 2019,omar-kharouba
"Faculty of Engineering, Ain Shams University","Engineer's degree, Computer Engineering",2016 - 2020,omar-nagah-ba21111aa
Helwan University Cairo,Computer Engineering,2011 - 2016,omar-osama-632b65b8
Cairo University,"Bachelor's degree, Computer Engineering",2016 - 2021,omar-salah-ab6553185
Cairo University,"Bachelor of Science - BS, Computer Engineering",2015 - 2020,omar97cs
Nahia Secondary School,High School,Sep 2012 - Aug 2015,omar97cs
Cairo University,"Bachelor of Engineering - BE, Communication and Computer Engineering",2017 - 2022,omarfasseh
The German University in Cairo,"Bachelor's degree, Computer Science",2016 - 2021,omarnael
International School of Elite Education,IGCSE,2012 - 2016,omarnael
Cairo University,"Bachelors, Computer Engineering",2014 - 2019,omarosamasobeih
Tanta University,"Bachelor of Engineering - BE, Computer Engineering",Sep 2016 - Jun 2021,omarradwan1
Information Technology Institute (ITI),"Diploma of Education, Computer Software Engineering",Dec 2021 - Mar 2022,omarradwan1
Tanta University,"Bachelor of Engineering - BE, Computer Engineering",Sep 2016 - Aug 2021,omarradwan1
Alexandria University,"Bachelor's degree, Electronics and Communications Engineering",2017 - 2022,omarsamy09
Alexandria University,"Bachelor's degree, Computer Engineering",2014 - 2019,omarsayed12
Information Technology Institute (ITI),"diploma, Open Source applications development",Oct 2021 - Jun 2022,omniaeladawy
Faculty of Computers and Information Technology - EELU,"Bachelor , Computer Science",Jul 2013 - Sep 2020,omniaeladawy
"Faculty of Engineering, Cairo University","Bachelor's degree, Computer Engineering",2015 - 2020,omniia-mohyee
Orman Secondary School For Girls.,High School,2009 - 2015,omniia-mohyee
Cairo University Faculty of Computers &amp; Information,"Bachelor's degree, Computer Science",2013 - 2017,osama-fathy
Information Technology Institute (ITI),"Embedded Cyber Security Tech Ambassador , Embedded Cyber Security",Feb 2023 - Jul 2023,osama-hamdy-47380313b
Information Technology Institute (ITI),"Diploma of Education, Embedded Systems",Oct 2021 - Jun 2022,osama-hamdy-47380313b
October 6 University,"student , Mechatronics, Robotics, and Automation Engineering",2014 - 2019,osama-hamdy-47380313b
Information Technology Institute (ITI),Oct 2020 - Jul 2021,,osama-hamed-3a588b149
Mansoura University,"Bachelor's degree, Electrical, Electronics and Communications Engineering",2014 - 2019,osama-hamed-3a588b149
Orouba Language School,2001 - 2015,,osama-nabih
Information Technology Institute (ITI),"Diploma of Education, Computer Software Engineering",Sep 2006 - Jul 2007,osama-sakr-32432188
Cairo University,"Good, Communication and Electronics Engineering",2002 - 2006,osama-sakr-32432188
Cairo University,"Bachelor's degree, Computer Engineering",Sep 2018 - Jul 2023,osamamagdy174
FCIS Mansoura University,"Bachelor's degree, Information Technology",2014 - 2018,osamanasr22
"Faculty of Engineering, Alexndria University","Bachelor of Science - BS, Computer and Communications Engineering",2014 - 2019,pancee-sawmaa-365058147
Ain Shams University,"Bachelor's degree, Computer Engineering",2012 - 2017,passant-osama
Cairo University,"Bachelor of Computer Science, Computer Science",2005 - 2009,paula-mamdouh-13ba9a112
Orman Secondary School,Secondary School,2001 - 2005,paula-mamdouh-13ba9a112
Faculty of science Alexandria University,"Bachelor's Degree, Computer Science and Mathematics",2008 - 2012,peter-wagih
Ali Mobarak Military High school,"High School, Mathematics",2005 - 2007,peter-wagih
The Egyptian Russian University - ERU,"Engineer's degree, Mechatronics, Robotics, and Automation Engineering",2016 - 2021,pishoy-emad-p19980908
National Telecommunication Institute (NTI),Embedded system,Jun 2022 - Aug 2022,pishoy-emad-p19980908
Cairo University,"Bachelor of Engineering - BE, Electrical, Electronics and Communications Engineering",Sep 2017 - Jul 2022,r2ba7
Cairo University,"Bachelor of Engineering - BE, Computer Engineering",2016 - Jul 2021,radwask
Cairo University,"Master of Science - MS, Computer Engineering",Sep 2022,radwask
Ain Shams University,"Bachelor of Science (BS), Physical Chemistry",2008 - 2012,rafaeladel
Ain Shams University,"Bachelor's degree, Computer and Information Sciences",2014 - 2018,raghda-elhout-179296163
Information Technology Institute (ITI),Embedded Systems,Oct 2021 - Jun 2022,rami-adel-64080b1a4
Helwan University Cairo,"Bachelor of Engineering - BE, Computer Engineering",2016 - 2021,rami-adel-64080b1a4
Modern Academy Maadi,"Bachelor’s Degree, Computer Science",2011 - 2015,ramiabdelmoneam
Ain Shams University,"Bachelor's degree, Computer Software Engineering",2014 - 2018,ramy-mehana-6075b2114
Helwan University Cairo,Computer Engineering,,rana-mahmoud-508378201
Helwan University Cairo,"senior, Computer Engineering Very good high with honour degree",2018 - 2022,rana-mahmoud-508378201
"Faculty of Engineering, Helwan University","Bachelor of Engineering - BE, Computer Engineering",2017 - 2022,rana-mohamed-0295601b6
The Egyptian Language School,Sep 2002 - Jun 2017,,rana-mohamed-0295601b6
"Faculty of Computer and Information Science,Ain Shams",good,2014 - 2018,rana-wael-910445117
nozha language school,2001 - 2014,,rana-wael-910445117
"Faculty of Engineering, Alexandria University, Egypt",Bachelor's degree,Oct 2011 - Jun 2016,randa-islam-diab-5b79a4221
The German University in Cairo,"Bachelor's degree, Media Engineering and Technology",2013 - 2018,rania-wael-1638a7149
Ain Shams University,"Bachelor's degree, Computer and Systems Engineering",2020,raniaelkatatny
Information Technology Institute (ITI),"Alexandria Branch, Web and Mobile Development",2016 - 2017,ranya-helmy-333b48142
Menya -University,"البكالوريوس, Computer Science",2012 - 2016,ranya-helmy-333b48142
Cairo University,"Master's degree, Computer Engineering",Oct 2021,redamaher
Faculty of Engineering at Cairo University,"Bachelor's degree, Electrical, Electronics and Communications Engineering",2008 - 2013,redamaher
Orman Secondary School,"Secondary Degree, Mathematics",2005 - 2008,redamaher
Cairo University,"Bachelor's degree, Computer Science",2018 - 2022,redatawfik
Udacity,"Nanodegree, Android Developer Nanodegree",2017 - 2018,redatawfik
Helwan University,"bachelor business information system, Business informatin system",2016 - 2020,reem-hossam-964519138
Faculty of Engineering Cairo University,"Bachelor's degree, Computer Engineering",2015 - 2020,reem-othman
Cairo University,Bachelor of Engineering - BE,2017 - 2021,reham-gamal-931244149
Information Technology Institute (ITI),Amazon Web Services (AWS) re/Start Program,Aug 2021 - Nov 2021,reham-mohamed-10794b155
Ain Shams University,"Bachelor's degree, Computer Science",Sep 2016 - Aug 2020,reham-mohamed-10794b155
Alexandria University,"Bachelor of Engineering - BE, Computer Software Engineering",Sep 2012 - Jul 2017,rewaidamohamed95
Faculty of Computers and Information - Cairo University,"Bachelor of Science (B.Sc.), Information Systems",2006 - 2010,riham-wazeer-88745393
Alexandria University,"Bachelor's degree, Computer And Communications Engineering",2015 - Dec 2020,rimon-adel
ZLS,High School Diploma,2012 - 2015,rimon-adel
Minufiya University,"Bachelor's degree, Computer Science",Sep 2017 - Aug 2020,roaagamal10
Cairo University,"Bachelor's degree, communication and electronics department",2015 - 2020,rokia-sayed-elboshy-290085150
Cairo University,"Bachelor's degree, Computer Engineering",2017 - 2022,saadbadr
Helwan University Cairo,2015 - 2019,,sagda-bkr-5a5b24141
Cairo University,"Master's degree, Electrical, Electronics and Communications Engineering",Mar 2017 - Mar 2022,salah-ashraf-3129716b
Cairo University,"Bachelor's degree, Electrical, Electronic and Communications Engineering",2011 - 2016,salah-ashraf-3129716b
Ain Shams University,"Bachelor's degree, Computer Software Engineering",2017 - 2021,salah-mostafa-136310169
Cairo University,"4th year, Electrical and Electronics Engineering",2016 - 2021,saleh-zakarea
Helwan,"Student, Communication",2017 - 2022,sally-youssef-679743182
Coursera,Computer Engineering,,sally-youssef-679743182
Udacity,Computer Engineering,,sally-youssef-679743182
University of North Carolina at Charlotte,"Bachelor's, Computer Science",2018 - 2020,salma-hanafi
Central Piedmont Community College,2017 - 2018,,salma-hanafi
"Faculty Of Engineering, University of Alexandria",2016 - 2017,,salma-hanafi
Cairo University,"Bachelor's degree, Computer Science",2014 - 2018,salma-hassan
Ain Shams University,"Bachelor of Science - BS, Biology/Biological Sciences Major with a Minor in Chemistry",2014 - 2018,salma-osama-12596sall
Cairo University,"Bachelor's degree, Law",2012 - 2016,salma-soliman-b72201173
Zewail City of Science and Technology,"Bachelor's degree, Communications and Information Engineering",2016 - 2022,salmaelbess
"Arab Academy for Science, Technology and Maritime Transport","Bachelor's degree, Computer Engineering",2014 - 2019,salmamkhattab
Misr University for Science and Technology,"Bachelor of Applied Science - BASc, Mechatronics Engineering",Sep 2017 - Jul 2022,salwa-al-bakri-392717183
Manara,Computer Software Engineering,2020 - 2021,samah-abu-shamma-47b962158
Birzeit University,Computer Engineering,2013 - 2018,samah-abu-shamma-47b962158
Ibn Sina School for Computer Science,Computer Science,,samah-abu-shamma-47b962158
Cairo University,"Bachelor, Computer Science",2013 - 2017,sameh-mostafa-1539b9a3
Alexandria University,"Bachelor's degree, Computer Software Engineering",2007 - 2012,samer-mohamed-a69839148
FCIS / Ain-Shams University,"Bachelor’s Degree, Computer Science",2014 - 2018,samiiir96
AZIS,High School,2011 - 2014,samiiir96
Information Technology Institute (ITI),Jun 2017 - Jan 2018,,samira-saad-13241b167
Alexandria University,"Bachelor's degree, Computer Science",2013 - 2017,samira-saad-13241b167
Computers and Information - Helwan University,"Bachelor's degree, Computer Science",2012 - 2018,samy-escarous
El Galaa Experimental Language School,"Certificate of Secondary Education, Mathematics and Physics",1999 - 2012,samy-escarous
Cairo University,"B.E., Computer and Communication Engineering, Communication and computer engineering",Sep 2014 - Jul 2019,sandra-soliman-545129224
MCIT Traning,2009 - 2010,,sara-abdo-5bb67b171
The Higher Institute of Computer and Management,"Good, Management Information Systems",2004 - 2008,sara-abdo-5bb67b171
Cairo University,"Bachelor's degree, Computer Engineering",2015 - 2020,sara-ahmed-cufe
Ain Shams University,"Bachelor's degree, Computer Science",2017,sara-alaa-b258b291
Information Technology Institute (ITI),System Development,2019 - 2020,sara-atef-b9517012b
Faculty of Computer Science and Information Systems,"very good, cs",2015 - 2019,sara-atef-b9517012b
Information Technology Institute (ITI),"technical diploma, Full Stack dot net development",2019 - 2020,sara-elmaghraby
faculty of engineering portsaid university,"Bachelor’s Degree, Electrical,Computer and control Engineering Technology/Technician",2013 - 2018,sara-elmaghraby
Information Technology Institute (ITI),"summer training , IOT",2017 - 2017,sara-elmaghraby
"Arab Academy for Science, Technology and Maritime Transport","Bachelor's degree, Computer Science",2017 - 2021,sara-maged-b919871a0
