University,Degree,Date,User,university_name,faculty_name
cairo university,"bachelor's degree, mathematics and computer science",2011 - 2019,mostafamohammed05,cairo,computer
minia university,"bachelor's degree, information technology",Jan 2016 - Jul 2019,motazmohamed,,computer
mitx courses,computer science,2015 - 2015,moustafamohsen,,computer
alexandria university,"bachelor’s degree, computer science",2012 - 2016,mtaherelkholy,alexandria,computer
information technology institute (iti),embedded system,Jul 2022 - Dec 2022,mu5tar,#iti,
national telecommunication institute (nti),"diploma of education, embedded systems and iot",Sep 2021 - Jan 2022,mu5tar,institute,
thebes academy,"بكالوريوس تكنولوجيا, computer science",2015 - 2019,mu5tar,thebes,computer
beni-suef university,"bachelor's degree, computer science",Sep 2019 - Aug 2023,muhamed-khedr,,computer
ain shams university,"bachelor's degree, computer and information sciences - software engineering",2018 - 2022,muhameddaahmed,ain shams,computer
ain shams university,"bachelor's degree, computer science",2016 - 2020,muhammed-aly,ain shams,computer
helwan university cairo,"bachelor's degree, software engineering",2016 - 2020,muhammedatif,cairo,computer
helwan university,"bachelor's degree in computer and artifcial intelligence, computer science",2016 - 2020,nabil-salman-851037164,helwan,computer
the german university in cairo,2013 - 2018,,nada-ahmed-09a891158,guc,
ain shams university,computer engineering and software systems,2012 - 2017,nada-dia,ain shams,computer
cairo university,"bachelor's degree, computer engineering",2017 - 2022,nada-elkhamy,cairo,computer
the german university in cairo,"bachelor's degree, computer science and engineering",2012 - 2017,nada-hamdi-345676b3,guc,computer
benha university,"bachelor's degree, computer and information sciences, general",2016 - 2020,nada-mohamed-b706491bb,benha,computer
ain shams university,"2020, computer engineering",2015 - 2020,nader-nabil,ain shams,computer
modern university for technology &amp; information - mti,"bachelor of science - bs, computer science",Sep 2019 - Jun 2023,nadertarek,mti,computer
ain shams university,computer engineering,2016 - 2021,nadienrashad,ain shams,computer
the german university in cairo,"bachelor of engineering - be, computer science and computer engineering",2016 - 2021,nadin-el-hanafy-b20533187(1),guc,computer
the german university in cairo,"bachelor of engineering - be, computer science and computer engineering",2016 - 2021,nadin-el-hanafy-b20533187,guc,computer
faculty of computers and information technology cairo university,information technology,2014 - 2018,nagham-alaa-54878a125,cairo,computer
cairo university,"bachelor's degree, electrical, electronics and communications engineering",,nahed-sayed-528749b6,cairo,electronic
cairo university,"bachelor of science - bs, computer engineering",2017 - 2022,naiera-magdy-3011,cairo,computer
faculty of engineering el-sherouk academy,"bachelor of engineering - be, communication and electronics",2015 - 2020,nermeen-hamada-abdelhamid-7a1562169,,electronic
saint vincent miami alexandria,mathématiques,1995 - 2008,nermine-georges-a833a9140,,
alexandria university,"bachelor of engineering - be, génie civil",2008 - 2013,nermine-georges-a833a9140,alexandria,civil
suez canal university,"bachelor's degree, computer science",2013 - 2017,nesma-mohamed-b42445142,suez canal,computer
faculty of computer and informatices in suez canel university,2013 - 2017,,nesma-mohamed-b42445142,,computer
the british university in egypt,"bachelor’s degree, computer scienc",2011 - 2015,noha-mohamed-ali(1),,computer
the british university in egypt,"bachelor’s degree, computer scienc",2011 - 2015,noha-mohamed-ali,,computer
information technology institute (iti),"higher national diploma, artificial intelligence",Apr 2021 - Dec 2021,noha-saeed,#iti,computer
zagazig university,"bachelor's degree, civil engineering",2013 - 2018,noha-saeed,zagazig,civil
"faculty of computer and information, ain shams univercity","bachelor’s degree, computer and information sciences",2014 - 2018,noha-samir-b07468138,,computer
ain shams university,"computer science diploma , computer technology/computer systems technology",2016 - 2018,norhan-elsayed-8055b9123,ain shams,computer
new cairo academy,"bachelor's degree, computer science and information system",2012 - 2016,norhan-elsayed-8055b9123,,computer
faculty of computers and artificial intelligence,"bachelor's degree, computer science",2017 - 2021,norhanatef,,computer
the american university in cairo,"bachelor of applied science - basc, computer engineering",2016 - 2021,nouran-adel-flaifel,cairo,computer
"japan foundation, cairo office",japanese language and culture,2011 - 2017,nourhan-elsherief-5270b185,,language
cairo university,"bachelor's degree in computer science, major: computer science, minor: information technology",2009 - 2013,nourhan-elsherief-5270b185,cairo,computer
helwan university,"bachelor’s degree, computer science",2011 - 2015,nourhan-hosny(1),helwan,computer
helwan university,"bachelor’s degree, computer science",2011 - 2015,nourhan-hosny,helwan,computer
kafr el-sheikh university,"vgood, electrical, electronics and communications engineering",2015 - 2020,nourhan-mourshdy-6975081b8,,electronic
information technology institute (iti),full stack developer,Nov 2021 - Feb 2022,nourhanelnaggar,#iti,
ain shams university,"faculty of computer and information science, computer and information sciences and support services",2017 - 2021,nourhanelnaggar,ain shams,computer
alexandria university,"master's degree, information technology",2018 - 2024,nourhansaeed,alexandria,computer
aiet,"bachelor's degree, computer engineering",2011 - 2016,nourhansaeed,,computer
kom hamada elthanwya bnat,"93%, mathematics",2008 - 2011,nourhansaeed,,
kafr el-sheikh university,"bachelor's degree, computer science",2018 - 2022,oaik,,computer
faculty of computer and information science helwan university,very good,2015 - 2019,ola-ibrahim-32886a163(1),helwan,computer
faculty of computer and information science helwan university,very good,2015 - 2019,ola-ibrahim-32886a163,helwan,computer
zewail city of science and technology,"bachelor of science - bs, communication and information engineering",Sep 2016 - Jun 2021,omar-3,zewail city,computer
alexandria university,"bachelor's degree, mechanical engineering",2012 - 2018,omar-abdel-halim-452b821a5,alexandria,mechanical
arab open university,"bachelor's degree, computer science",2017 - 2021,omar-abubakr-902900189,,computer
information technology institute (iti),"diploma of education, front end development",2020 - 2021,omar-adel-808414145,#iti,
higher technological institute,"bachelor's degree, mechatronics, robotics, and automation engineering",2014 - 2019,omar-adel-808414145,institute,mechatronic
higher technological institute,"bachelor's degree, electronics and communications engineering",Sep 2016 - Jul 2021,omar-ahmed-0999b518b,institute,electronic
information technology institute (iti),"diploma of education, artificial intelligence and machine learning",Oct 2021 - Jul 2022,omar-ahmed-0999b518b,#iti,computer
ain shams university,"bachelor of engineering (b.eng.), communication systems",2009 - 2014,omar-ehab-0b1512118,ain shams,electronic
cairo university,"bachelor of engineering - be, communications and computer engineering (cce)",2015 - 2020,omar-el-masry-375083158,cairo,computer
cairo university,"master's degree, computer engineering",Jan 2021,omar-el-masry-375083158,cairo,computer
tanta university,"bachelor's degree, business and information system",2015 - 2019,omar-elshrief-2a59a7220,tanta,computer
cairo university,"bachelor of engineering - be, electrical and machine",2018,omar-gharib-a593279a,cairo,power
future university in egypt,2012 - 2017,,omar-hassan-8b1869137,future,
future university - egypt,"bachelor's degree, computer science",2012 - 2017,omar-hassan-8b1869137,future,computer
ain shams university,"bachelor's degree, computer software engineering",2016 - 2021,omar-hatem-993015118,ain shams,computer
ain shams university,"bachelor of engineering - be, computer engineering",2016 - 2021,omar-hazem-57317413a,ain shams,computer
the german university in cairo,"bachelor's degree, computer science",2014 - 2019,omar-kharouba,guc,computer
"faculty of engineering, ain shams university","engineer's degree, computer engineering",2016 - 2020,omar-nagah-ba21111aa,ain shams,computer
helwan university cairo,computer engineering,2011 - 2016,omar-osama-632b65b8,cairo,computer
cairo university,"bachelor's degree, computer engineering",2016 - 2021,omar-salah-ab6553185,cairo,computer
cairo university,"bachelor of science - bs, computer engineering",2015 - 2020,omar97cs,cairo,computer
cairo university,"bachelor of engineering - be, communication and computer engineering",2017 - 2022,omarfasseh,cairo,computer
the german university in cairo,"bachelor's degree, computer science",2016 - 2021,omarnael,guc,computer
cairo university,"bachelors, computer engineering",2014 - 2019,omarosamasobeih,cairo,computer
tanta university,"bachelor of engineering - be, computer engineering",Sep 2016 - Jun 2021,omarradwan1,tanta,computer
information technology institute (iti),"diploma of education, computer software engineering",Dec 2021 - Mar 2022,omarradwan1,#iti,computer
tanta university,"bachelor of engineering - be, computer engineering",Sep 2016 - Aug 2021,omarradwan1,tanta,computer
alexandria university,"bachelor's degree, electronics and communications engineering",2017 - 2022,omarsamy09,alexandria,electronic
alexandria university,"bachelor's degree, computer engineering",2014 - 2019,omarsayed12,alexandria,computer
information technology institute (iti),"diploma, open source applications development",Oct 2021 - Jun 2022,omniaeladawy,#iti,
faculty of computers and information technology - eelu,"bachelor , computer science",Jul 2013 - Sep 2020,omniaeladawy,,computer
"faculty of engineering, cairo university","bachelor's degree, computer engineering",2015 - 2020,omniia-mohyee,cairo,computer
cairo university faculty of computers &amp; information,"bachelor's degree, computer science",2013 - 2017,osama-fathy,cairo,computer
information technology institute (iti),"embedded cyber security tech ambassador , embedded cyber security",Feb 2023 - Jul 2023,osama-hamdy-47380313b,#iti,
information technology institute (iti),"diploma of education, embedded systems",Oct 2021 - Jun 2022,osama-hamdy-47380313b,#iti,
october 6 university,"student , mechatronics, robotics, and automation engineering",2014 - 2019,osama-hamdy-47380313b,october,mechatronic
information technology institute (iti),oct 2020 - jul 2021,,osama-hamed-3a588b149,#iti,
mansoura university,"bachelor's degree, electrical, electronics and communications engineering",2014 - 2019,osama-hamed-3a588b149,mansoura,electronic
information technology institute (iti),"diploma of education, computer software engineering",Sep 2006 - Jul 2007,osama-sakr-32432188,#iti,computer
cairo university,"good, communication and electronics engineering",2002 - 2006,osama-sakr-32432188,cairo,electronic
cairo university,"bachelor's degree, computer engineering",Sep 2018 - Jul 2023,osamamagdy174,cairo,computer
fcis mansoura university,"bachelor's degree, information technology",2014 - 2018,osamanasr22,mansoura,computer
"faculty of engineering, alexndria university","bachelor of science - bs, computer and communications engineering",2014 - 2019,pancee-sawmaa-365058147,,computer
ain shams university,"bachelor's degree, computer engineering",2012 - 2017,passant-osama,ain shams,computer
cairo university,"bachelor of computer science, computer science",2005 - 2009,paula-mamdouh-13ba9a112,cairo,computer
faculty of science alexandria university,"bachelor's degree, computer science and mathematics",2008 - 2012,peter-wagih,alexandria,computer
the egyptian russian university - eru,"engineer's degree, mechatronics, robotics, and automation engineering",2016 - 2021,pishoy-emad-p19980908,,mechatronic
national telecommunication institute (nti),embedded system,Jun 2022 - Aug 2022,pishoy-emad-p19980908,institute,
cairo university,"bachelor of engineering - be, electrical, electronics and communications engineering",Sep 2017 - Jul 2022,r2ba7,cairo,electronic
cairo university,"bachelor of engineering - be, computer engineering",2016 - Jul 2021,radwask,cairo,computer
cairo university,"master of science - ms, computer engineering",Sep 2022,radwask,cairo,computer
ain shams university,"bachelor of science (bs), physical chemistry",2008 - 2012,rafaeladel,ain shams,science
ain shams university,"bachelor's degree, computer and information sciences",2014 - 2018,raghda-elhout-179296163,ain shams,computer
information technology institute (iti),embedded systems,Oct 2021 - Jun 2022,rami-adel-64080b1a4,#iti,
helwan university cairo,"bachelor of engineering - be, computer engineering",2016 - 2021,rami-adel-64080b1a4,cairo,computer
modern academy maadi,"bachelor’s degree, computer science",2011 - 2015,ramiabdelmoneam,modern academy,computer
ain shams university,"bachelor's degree, computer software engineering",2014 - 2018,ramy-mehana-6075b2114,ain shams,computer
helwan university cairo,computer engineering,,rana-mahmoud-508378201,cairo,computer
helwan university cairo,"senior, computer engineering very good high with honour degree",2018 - 2022,rana-mahmoud-508378201,cairo,computer
"faculty of engineering, helwan university","bachelor of engineering - be, computer engineering",2017 - 2022,rana-mohamed-0295601b6,helwan,computer
"faculty of computer and information science,ain shams",good,2014 - 2018,rana-wael-910445117,,computer
"faculty of engineering, alexandria university, egypt",bachelor's degree,Oct 2011 - Jun 2016,randa-islam-diab-5b79a4221,alexandria,engineering
the german university in cairo,"bachelor's degree, media engineering and technology",2013 - 2018,rania-wael-1638a7149,guc,computer
ain shams university,"bachelor's degree, computer and systems engineering",2020,raniaelkatatny,ain shams,computer
information technology institute (iti),"alexandria branch, web and mobile development",2016 - 2017,ranya-helmy-333b48142,#iti,
menya -university,"البكالوريوس, computer science",2012 - 2016,ranya-helmy-333b48142,,computer
cairo university,"master's degree, computer engineering",Oct 2021,redamaher,cairo,computer
faculty of engineering at cairo university,"bachelor's degree, electrical, electronics and communications engineering",2008 - 2013,redamaher,cairo,electronic
cairo university,"bachelor's degree, computer science",2018 - 2022,redatawfik,cairo,computer
helwan university,"bachelor business information system, business informatin system",2016 - 2020,reem-hossam-964519138,helwan,computer
faculty of engineering cairo university,"bachelor's degree, computer engineering",2015 - 2020,reem-othman,cairo,computer
cairo university,bachelor of engineering - be,2017 - 2021,reham-gamal-931244149,cairo,engineering
information technology institute (iti),amazon web services (aws) re/start program,Aug 2021 - Nov 2021,reham-mohamed-10794b155,#iti,art
ain shams university,"bachelor's degree, computer science",Sep 2016 - Aug 2020,reham-mohamed-10794b155,ain shams,computer
alexandria university,"bachelor of engineering - be, computer software engineering",Sep 2012 - Jul 2017,rewaidamohamed95,alexandria,computer
faculty of computers and information - cairo university,"bachelor of science (b.sc.), information systems",2006 - 2010,riham-wazeer-88745393,cairo,computer
alexandria university,"bachelor's degree, computer and communications engineering",2015 - Dec 2020,rimon-adel,alexandria,computer
minufiya university,"bachelor's degree, computer science",Sep 2017 - Aug 2020,roaagamal10,minufiya,computer
cairo university,"bachelor's degree, communication and electronics department",2015 - 2020,rokia-sayed-elboshy-290085150,cairo,electronic
cairo university,"bachelor's degree, computer engineering",2017 - 2022,saadbadr,cairo,computer
helwan university cairo,2015 - 2019,,sagda-bkr-5a5b24141,cairo,
cairo university,"master's degree, electrical, electronics and communications engineering",Mar 2017 - Mar 2022,salah-ashraf-3129716b,cairo,electronic
cairo university,"bachelor's degree, electrical, electronic and communications engineering",2011 - 2016,salah-ashraf-3129716b,cairo,electronic
ain shams university,"bachelor's degree, computer software engineering",2017 - 2021,salah-mostafa-136310169,ain shams,computer
cairo university,"4th year, electrical and electronics engineering",2016 - 2021,saleh-zakarea,cairo,electronic
helwan,"student, communication",2017 - 2022,sally-youssef-679743182,,electronic
university of north carolina at charlotte,"bachelor's, computer science",2018 - 2020,salma-hanafi,,computer
central piedmont community college,2017 - 2018,,salma-hanafi,,
"faculty of engineering, university of alexandria",2016 - 2017,,salma-hanafi,alexandria,engineering
cairo university,"bachelor's degree, computer science",2014 - 2018,salma-hassan,cairo,computer
ain shams university,"bachelor of science - bs, biology/biological sciences major with a minor in chemistry",2014 - 2018,salma-osama-12596sall,ain shams,science
cairo university,"bachelor's degree, law",2012 - 2016,salma-soliman-b72201173,cairo,law
zewail city of science and technology,"bachelor's degree, communications and information engineering",2016 - 2022,salmaelbess,zewail city,computer
"arab academy for science, technology and maritime transport","bachelor's degree, computer engineering",2014 - 2019,salmamkhattab,,computer
misr university for science and technology,"bachelor of applied science - basc, mechatronics engineering",Sep 2017 - Jul 2022,salwa-al-bakri-392717183,misr,mechatronic
manara,computer software engineering,2020 - 2021,samah-abu-shamma-47b962158,,computer
birzeit university,computer engineering,2013 - 2018,samah-abu-shamma-47b962158,,computer
cairo university,"bachelor, computer science",2013 - 2017,sameh-mostafa-1539b9a3,cairo,computer
alexandria university,"bachelor's degree, computer software engineering",2007 - 2012,samer-mohamed-a69839148,alexandria,computer
fcis / ain-shams university,"bachelor’s degree, computer science",2014 - 2018,samiiir96,,computer
information technology institute (iti),jun 2017 - jan 2018,,samira-saad-13241b167,#iti,
alexandria university,"bachelor's degree, computer science",2013 - 2017,samira-saad-13241b167,alexandria,computer
computers and information - helwan university,"bachelor's degree, computer science",2012 - 2018,samy-escarous,helwan,computer
cairo university,"b.e., computer and communication engineering, communication and computer engineering",Sep 2014 - Jul 2019,sandra-soliman-545129224,cairo,computer
mcit traning,2009 - 2010,,sara-abdo-5bb67b171,,
the higher institute of computer and management,"good, management information systems",2004 - 2008,sara-abdo-5bb67b171,institute,computer
cairo university,"bachelor's degree, computer engineering",2015 - 2020,sara-ahmed-cufe,cairo,computer
ain shams university,"bachelor's degree, computer science",2017,sara-alaa-b258b291,ain shams,computer
information technology institute (iti),system development,2019 - 2020,sara-atef-b9517012b,#iti,
faculty of computer science and information systems,"very good, cs",2015 - 2019,sara-atef-b9517012b,,computer
information technology institute (iti),"technical diploma, full stack dot net development",2019 - 2020,sara-elmaghraby,#iti,
faculty of engineering portsaid university,"bachelor’s degree, electrical,computer and control engineering technology/technician",2013 - 2018,sara-elmaghraby,,computer
information technology institute (iti),"summer training , iot",2017 - 2017,sara-elmaghraby,#iti,
"arab academy for science, technology and maritime transport","bachelor's degree, computer science",2017 - 2021,sara-maged-b919871a0,,computer
faculty of engineering- port said university,"bachelor of engineering - be, computer and control",2012 - 2017,sara-mamdouh-4b62a8140,,computer
ain shams university,"bachelor's degree, computer and systems engineering",2013 - 2018,sara-nasr-maher,ain shams,computer
cairo university,"bachelor's degree, computer engineering",Sep 2016 - Jul 2021,sara-yasser-02bb69214,cairo,computer
"faculty of electronic engineering, menoufia university","bachelor of computer science and engineering, computer science and engineering",2009 - 2013,sarah-samir-saad-7874a414b,menoufia,computer
the british university in egypt,"bachelor's degree, computer science",2014 - 2018,seif-el-din-ashraf-7149321a3,,computer
cairo university,"bachelor of engineering - be, computer engineering",2017 - 2022,seif-eldin-elsaeed-8b0572182,cairo,computer
iti,2010 - 2011,,shaban-abdelfatah-9050a548,#iti,
cairo university,"bachelor of engineering - be, bioengineering and biomedical engineering",2021,shaden-ahmed-sadek,cairo,biomedical
pharos university in alexandria,"bachelor's degree, computer engineering",Sep 2014 - Jul 2019,shady-eldawy-636a441b3,alexandria,computer
zagazig university,"bachelor's degree, mechatronics, robotics, and automation engineering",2014 - 2019,shady-mohamed,zagazig,mechatronic
faculty of computer and information sciences - ain shams university,"bachelor’s degree, computer science",2017 - 2021,shehab-alaa-4b29ba182,ain shams,computer
alexandria university,"bachelor's degree, computer science",2009 - 2013,shehab-eldean-ahmed-1b563b130,alexandria,computer
ain shams university,"bachelor's degree, computer engineering",2015 - 2020,shehab-hosny,ain shams,computer
cairo university,"bachelor's degree, computer science",2012 - 2016,sherefshokry,cairo,computer
cairo university,"bachelor's degree, faculity of computers and informaion",2014 - 2018,sherien-doma,cairo,computer
ain shams university,"bachelor's degree, computer engineering",Sep 2016 - Jul 2021,sherif-ashraf-78599b176,ain shams,computer
cairo university,"bachelor's degree, computer engineering",2007 - 2012,sherifmedhat,cairo,computer
collège de la salle,"secondary degree, egyptian school curriculum",2004 - 2007,sherifmedhat,,
information technology institute (iti),"trainee, full stack using mearn track",2020 - 2021,shimaa-el-maghraby,#iti,
benha university,bachelor degree of computers and information technology,2016 - 2020,shimaa-el-maghraby,benha,computer
faculty of computer and information sciences ain shams university,"good, computer science",2011 - 2015,shimaa-ramadan-04422115a,ain shams,computer
ain shams university,2014 - 2018,,shimaa-sayed,ain shams,
knowledge officer career accelerator,product management,Oct 2021,shimaa-sayed,,
faculty of computers and information,"very good, informtion systems",2007 - 2011,shorouk-nabil-shokr-b5186571,,computer
badr,"93.6 %, badr secondary school",2004 - 2007,shorouk-nabil-shokr-b5186571,,
information technology institute (iti),full stack developing using php,Nov 2021 - Mar 2022,shrok-ayman-zain-472590188,#iti,
helwan university cairo,"bachelor's degree, computer and information sciences and support services",2018 - 2021,shrok-ayman-zain-472590188,cairo,computer
cairo university,"bachelor of engineering - be, computer engineering",2011 - 2016,shrok-yahya-40450a1aa,cairo,computer
"computer science and information system , six of october university","b.sc, computer science",2004 - 2007,taha-gamil-448b4249,october,computer
information technology institute (iti),"diploma, software development",2016 - 2017,tahaclr,#iti,computer
assiut university,"bachelor's degree, mathematical statistics/commerce",2010 - 2014,tahaclr,,commerce
mansoura university,"bachelor's degree, electrical, electronics and communications engineering",,tarek-ibrahim-eltorky-b77a5988,mansoura,electronic
information technology institute (iti),"9 months diploma, embedded systems",,tarek-ibrahim-eltorky-b77a5988,#iti,
helwan university cairo,"bachelor's degree, telecommunications engineering",2018 - 2023,tarek-ragab,cairo,electronic
ain shams university,computer engineering,2011 - 2016,tarek-talaat-9bb5b1a6,ain shams,computer
cairo university,"bachelor of science (b.sc.), computer engineering",1992 - 1997,tarekdawoud,cairo,computer
nile university - nu,"bachelor of science - bs, computer engineering",2012 - 2017,tayelno,nile,computer
ain shams university,"bachelor's degree, computer science",2018 - 2022,tokaehab,ain shams,computer
suez canal university,"bachelor's degree, computer science",2018 - Jul 2022,waelelsafty07,suez canal,computer
mansoura university,"bachelor's degree, electronics and communications engineering",Sep 2013 - Aug 2018,walaa-abdallah94,mansoura,electronic
cairo university,"bachelor's degree, computer engineering",2015 - 2020,walaa-ihab-100055163,cairo,computer
university of greenwich,"master's degree, computer science",2019 - 2020,yara-mahmoud-0a72861aa,,computer
ain shams university,"bachelor's degree, computer science",2016 - 2020,yashraf74,ain shams,computer
ain shams university,"student, computer science",2019 - 2023,yasmeen-abdelaziz,ain shams,computer
the german university in cairo,"bachelor's degree, business informatics",2010 - 2014,yasmin-eltahan-323b82168,guc,commerce
ramses college for girls,1997 - 2010,,yasmin-eltahan-323b82168,,
information technology institute (iti),system administration,2020 - 2021,yasmina-salah,#iti,
mansoura university,"bachelor's degree, electrical, electronics and communications engineering",2015 - 2020,yasmina-salah,mansoura,electronic
computer science,"bachelor of computer science - bsc, computer science",2017 - 2021,yasmina-tarek-220a06173,,computer
helwan university,"bachelor of engineering - be, computer engineering",Sep 2017 - May 2022,yasmine-arafa-16511a199,helwan,computer
the german university in cairo,"bachelor's degree, business informatics",2014 - 2018,yasmine-nossair-190528b5,guc,commerce
alexandria university,"bachelor's degree, electrical, electronics and communications engineering",2012 - 2017,yasser-mohamed-15317b147,alexandria,electronic
cairo university,"bachelor of arts - ba, history",2006 - 2011,yasser-sobhy,cairo,art
cairo university,"bachelor of science - bs, computer engineering",2017 - 2019,yasserelsaid,cairo,computer
university of aberdeen,"master's degree, artificial intelligence &amp; machine learning",2020 - Aug 2021,yassin-dinana,,computer
university of westminster,"bachelor of engineering - be, electrical and electronics engineering",2017 - 2020,yassin-dinana,,electronic
alexandria university,"bachelor's degree, computer engineering",2016 - 2021,yehia-elsayed-396398177,alexandria,computer
ain shams university,"bachelor of engineering - be, computer software engineering",2017 - 2022,yomna-abdulwahab,ain shams,computer
modern university for technology &amp; information - mti,"bachelor's degree, computer science",2015 - 2019,yomna-fathy-52813a119,mti,computer
"faculty of engineering, alexandria university,egypt","bachelor of engineering - be, electrical, electronics and communications engineering",Sep 2017 - Jun 2022,yomna-raouf-392440168,alexandria,electronic
zero to mastery academy,"complete react developer in 2021 (w/ redux, hooks, graphql), web development",Jan 2021 - Feb 2021,yomna-raouf-392440168,,
ain shams university,"doctor of philosophy - phd, computer vision, artificial intelligence",Sep 2014 - Aug 2021,yomna-safaa-el-din,ain shams,computer
ain shams university,"master of science (m.sc.), computer engineering",2009 - 2013,yomna-safaa-el-din,ain shams,computer
ain shams university,"bachelor of science (b.sc.), computer engineering",2003 - 2008,yomna-safaa-el-din,ain shams,computer
cairo university,"bachelor of engineering - be, computer engineering",2018 - 2023,yomna-tarek,cairo,computer
cairo university,"bachelor of engineering - be, computer engineering",Sep 2016 - Aug 2021,yosrym93,cairo,computer
faculty of engineering ainshams university,"bachelor's degree, computer and systems engineering",2016 - 2021,yousef-emad-6718b01b2,,computer
cairo university,"bachelor's degree, computer engineering",2018 - 2023,yousefqadryy,cairo,computer
cairo university,"bachelor of engineering - be, electronics and electrical communications engineering",Sep 2018 - Jul 2022,yousof-osama,cairo,electronic
cairo university,"bachelor's degree, computer software engineering",2016 - 2020,youssef--ezzat,cairo,computer
cairo university,"bachelor's degree, electrical, electronics and communications engineering",2017 - 2022,youssef-abdelhameed,cairo,electronic
share - growing a new generation of leaders,"lum, mobility",2020 - 2021,youssef-abdelhameed,,
alexandria university,"bachelor's degree, computer and systems engineering",Sep 2015 - Aug 2020,youssef-ali97,alexandria,computer
reserve officers college,"lieutenant, military science and operational studies",Nov 2020 - Apr 2021,youssef-ali97,,science
cairo university,"bachelor's degree, systems and biomedical engineering",2015 - 2020,youssef-gamal,cairo,biomedical
"arab academy for science, technology and maritime transport","computer engineering, machine learning",2014 - 2019,youssef-mazen-2a6a441b4,,computer
ain shams university,"bachelor's degree, computer engineering",Sep 2017 - Jul 2022,youssef-mostafa2000,ain shams,computer
cairo university,"bachelor's degree, electrical, electronics and communications engineering",Sep 2017 - Jul 2022,youssefgalal,cairo,electronic
"faculty of engineering, alexandria university, egypt","bachelor's degree, computer software engineering",2017 - 2022,youssefhussein,alexandria,computer
misr university for science and technology,"bachelor's degree, engineering",2014 - 2019,youssefmagdi,misr,engineering
the german university in cairo,"bachelor of applied science - basc, computer engineering",2017 - 2022,youssefsfahmy,guc,computer
ain shams university,"master's degree, computer engineering",Oct 2021 - Jul 2024,youssephahmed,ain shams,computer
ain shams university,"bachelor's degree, computer and systems engineering",2014 - 2019,youssephahmed,ain shams,computer
ain shams university,"bachelor's degree, computer science",2017 - 2021,yussef-ayman,ain shams,computer
"arab academy for science, technology and maritime transport",2015 - 2019,,yusuf-abdelmoniem-b8934716a,,
ain shams university,"master of science - ms, artificial intelligence",2020 - Jun 2023,yusuf-awad,ain shams,computer
ain shams university,"bachelor's degree, computer and information science",2015 - 2019,yusuf-awad,ain shams,computer
alexandria university,"bachelor of science - bs, computer and communications engineering",Sep 2016 - Jul 2021,zeyad-el-halawany-543753235,alexandria,computer
"victoria college, alexandria",mathematics,Sep 2002 - Jun 2013,zeyad-el-halawany-543753235,,
ain shams university,"bachelor's degree, computer and information sciences, general",2013 - 2018,zeyadetman,ain shams,computer
alexandria university,"bachelor of engineering - be, computer engineering",Sep 2016 - Jul 2021,zeyadosama,alexandria,computer
university of east london,"bachelor of engineering - be, computer engineering and software systems",Oct 2021 - May 2025,ziad-amerr,,computer
ain shams university,"bachelor of engineering - be, computer engineering and software systems",2020 - 2025,ziad-amerr,ain shams,computer
"arab academy for science, technology and maritime transport","bachelor's degree, computer science",2011 - 2015,ziad-ayman-63645b115,,computer
"cairo university, faculty of engineering","graduate, computer engineering",2012 - 2016,ziad-madkour,cairo,computer
mansoura university,"bachelor's degree, computer and information sciences, general",Sep 2018 - Jul 2022,zienabmuhammad,mansoura,computer
cairo university,"student, electrical and electronics engineering",2016 - 2021,zyad-ahmed-b588681b2,cairo,electronic
